Elapsed_s,Generated_W,Consumed_W,Net_W,Illumination
1695600.0,459.0,54.5,404.5,1.0
1699200.0,459.0,54.5,404.5,1.0
1702800.0,459.0,54.5,404.5,1.0
1706400.0,459.0,54.5,404.5,1.0
1710000.0,459.0,54.5,404.5,1.0
1713600.0,459.0,54.5,404.5,1.0
1717200.0,459.0,54.5,404.5,1.0
1720800.0,459.0,54.5,404.5,1.0
1724400.0,459.0,54.5,404.5,1.0
1728000.0,459.0,54.5,404.5,1.0
1731600.0,459.0,54.5,404.5,1.0
1735200.0,459.0,54.5,404.5,1.0
1738800.0,459.0,54.5,404.5,1.0
1742400.0,459.0,54.5,404.5,1.0
1746000.0,459.0,54.5,404.5,1.0
1749600.0,459.0,54.5,404.5,1.0
1753200.0,459.0,54.5,404.5,1.0
1756800.0,459.0,54.5,404.5,1.0
1760400.0,459.0,54.5,404.5,1.0
1764000.0,459.0,54.5,404.5,1.0
1767600.0,459.0,54.5,404.5,1.0
1771200.0,459.0,54.5,404.5,1.0
1774800.0,459.0,54.5,404.5,1.0
1778400.0,459.0,54.5,404.5,1.0
1782000.0,459.0,54.5,404.5,1.0
1785600.0,459.0,54.5,404.5,1.0
1789200.0,459.0,54.5,404.5,1.0
1792800.0,459.0,54.5,404.5,1.0
1796400.0,459.0,54.5,404.5,1.0
1800000.0,459.0,54.5,404.5,1.0
1803600.0,459.0,54.5,404.5,1.0
1807200.0,459.0,54.5,404.5,1.0
1810800.0,459.0,54.5,404.5,1.0
1814400.0,459.0,54.5,404.5,1.0
1818000.0,459.0,54.5,404.5,1.0
1821600.0,459.0,54.5,404.5,1.0
1825200.0,459.0,54.5,404.5,1.0
1828800.0,459.0,54.5,404.5,1.0
1832400.0,459.0,54.5,404.5,1.0
1836000.0,459.0,54.5,404.5,1.0
1839600.0,459.0,54.5,404.5,1.0
1843200.0,459.0,54.5,404.5,1.0
1846800.0,459.0,54.5,404.5,1.0
1850400.0,459.0,54.5,404.5,1.0
1854000.0,459.0,54.5,404.5,1.0
1857600.0,459.0,54.5,404.5,1.0
1861200.0,459.0,54.5,404.5,1.0
1864800.0,459.0,54.5,404.5,1.0
1868400.0,459.0,54.5,404.5,1.0
1872000.0,459.0,54.5,404.5,1.0
1875600.0,459.0,54.5,404.5,1.0
1879200.0,459.0,54.5,404.5,1.0
1882800.0,459.0,54.5,404.5,1.0
1886400.0,459.0,54.5,404.5,1.0
1890000.0,459.0,54.5,404.5,1.0
1893600.0,459.0,54.5,404.5,1.0
1897200.0,459.0,54.5,404.5,1.0
1900800.0,459.0,54.5,404.5,1.0
1904400.0,459.0,54.5,404.5,1.0
1908000.0,459.0,54.5,404.5,1.0
1911600.0,459.0,54.5,404.5,1.0
1915200.0,459.0,54.5,404.5,1.0
1918800.0,459.0,54.5,404.5,1.0
1922400.0,459.0,54.5,404.5,1.0
1926000.0,459.0,54.5,404.5,1.0
1929600.0,459.0,54.5,404.5,1.0
1933200.0,459.0,54.5,404.5,1.0
1936800.0,459.0,54.5,404.5,1.0
1940400.0,459.0,54.5,404.5,1.0
1944000.0,459.0,54.5,404.5,1.0
1947600.0,459.0,54.5,404.5,1.0
1951200.0,459.0,54.5,404.5,1.0
1954800.0,459.0,54.5,404.5,1.0
1958400.0,459.0,54.5,404.5,1.0
1962000.0,459.0,54.5,404.5,1.0
1965600.0,459.0,54.5,404.5,1.0
1969200.0,459.0,54.5,404.5,1.0
1972800.0,459.0,54.5,404.5,1.0
1976400.0,459.0,54.5,404.5,1.0
1980000.0,459.0,54.5,404.5,1.0
1983600.0,459.0,54.5,404.5,1.0
1987200.0,459.0,54.5,404.5,1.0
1990800.0,459.0,54.5,404.5,1.0
1994400.0,459.0,54.5,404.5,1.0
1998000.0,459.0,54.5,404.5,1.0
2001600.0,459.0,54.5,404.5,1.0
2005200.0,459.0,54.5,404.5,1.0
2008800.0,459.0,54.5,404.5,1.0
2012400.0,459.0,54.5,404.5,1.0
2016000.0,459.0,54.5,404.5,1.0
2019600.0,459.0,54.5,404.5,1.0
2023200.0,459.0,54.5,404.5,1.0
2026800.0,459.0,54.5,404.5,1.0
2030400.0,459.0,54.5,404.5,1.0
2034000.0,459.0,54.5,404.5,1.0
2037600.0,459.0,54.5,404.5,1.0
2041200.0,459.0,54.5,404.5,1.0
2044800.0,459.0,54.5,404.5,1.0
2048400.0,459.0,54.5,404.5,1.0
2052000.0,459.0,54.5,404.5,1.0
2055600.0,459.0,54.5,404.5,1.0
2059200.0,459.0,54.5,404.5,1.0
2062800.0,459.0,54.5,404.5,1.0
2066400.0,459.0,54.5,404.5,1.0
2070000.0,459.0,54.5,404.5,1.0
2073600.0,459.0,54.5,404.5,1.0
2077200.0,459.0,54.5,404.5,1.0
2080800.0,459.0,54.5,404.5,1.0
2084400.0,459.0,54.5,404.5,1.0
2088000.0,459.0,54.5,404.5,1.0
2091600.0,459.0,54.5,404.5,1.0
2095200.0,459.0,54.5,404.5,1.0
2098800.0,459.0,54.5,404.5,1.0
2102400.0,459.0,54.5,404.5,1.0
2106000.0,459.0,54.5,404.5,1.0
2109600.0,459.0,54.5,404.5,1.0
2113200.0,459.0,54.5,404.5,1.0
2116800.0,459.0,54.5,404.5,1.0
2120400.0,459.0,54.5,404.5,1.0
2124000.0,459.0,54.5,404.5,1.0
2127600.0,459.0,54.5,404.5,1.0
2131200.0,459.0,54.5,404.5,1.0
2134800.0,459.0,54.5,404.5,1.0
2138400.0,459.0,54.5,404.5,1.0
2142000.0,459.0,54.5,404.5,1.0
2145600.0,459.0,54.5,404.5,1.0
2149200.0,459.0,54.5,404.5,1.0
2152800.0,459.0,54.5,404.5,1.0
2156400.0,459.0,54.5,404.5,1.0
2160000.0,459.0,54.5,404.5,1.0
2163600.0,459.0,54.5,404.5,1.0
2167200.0,459.0,54.5,404.5,1.0
2170800.0,459.0,54.5,404.5,1.0
2174400.0,459.0,54.5,404.5,1.0
2178000.0,459.0,54.5,404.5,1.0
2181600.0,459.0,54.5,404.5,1.0
2185200.0,459.0,54.5,404.5,1.0
2188800.0,459.0,54.5,404.5,1.0
2192400.0,459.0,54.5,404.5,1.0
2196000.0,459.0,54.5,404.5,1.0
2199600.0,459.0,54.5,404.5,1.0
2203200.0,459.0,54.5,404.5,1.0
2206800.0,459.0,54.5,404.5,1.0
2210400.0,459.0,54.5,404.5,1.0
2214000.0,459.0,54.5,404.5,1.0
2217600.0,459.0,54.5,404.5,1.0
2221200.0,459.0,54.5,404.5,1.0
2224800.0,459.0,54.5,404.5,1.0
2228400.0,459.0,54.5,404.5,1.0
2232000.0,459.0,54.5,404.5,1.0
2235600.0,459.0,54.5,404.5,1.0
2239200.0,459.0,54.5,404.5,1.0
2242800.0,459.0,54.5,404.5,1.0
2246400.0,459.0,54.5,404.5,1.0
2250000.0,459.0,54.5,404.5,1.0
2253600.0,459.0,54.5,404.5,1.0
2257200.0,459.0,54.5,404.5,1.0
2260800.0,459.0,54.5,404.5,1.0
2264400.0,459.0,54.5,404.5,1.0
2268000.0,459.0,54.5,404.5,1.0
2271600.0,459.0,54.5,404.5,1.0
2275200.0,459.0,54.5,404.5,1.0
2278800.0,459.0,54.5,404.5,1.0
2282400.0,459.0,54.5,404.5,1.0
2286000.0,459.0,54.5,404.5,1.0
2289600.0,459.0,54.5,404.5,1.0
2293200.0,459.0,54.5,404.5,1.0
2296800.0,459.0,54.5,404.5,1.0
2300400.0,459.0,54.5,404.5,1.0
2304000.0,459.0,54.5,404.5,1.0
2307600.0,459.0,54.5,404.5,1.0
2311200.0,459.0,54.5,404.5,1.0
